Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
COG0016_0|COG0016_1|COG0016_2_1	COG1160	1.87e-14	0.5128	0.04504	0.08784	0.975
COG0016_0|COG0016_1|COG0016_2_2	COG0016	2.46e-145	0.5016	0.4836	0.9642	0.95
COG0016_0|COG0016_1|COG0016_2_3	COG0596	5.42e-30	0.1977	0.1844	0.9326	0.9813
COG0048_0|COG0048_1|COG0048_2_2	COG0048	2.27e-73	0.7797	0.7132	0.9147	0.8676
COG0048_0|COG0048_1|COG0048_2_3	COG0049	4.91e-36	0.4894	0.3108	0.6351	1
COG0049_0_2	COG0048	2.27e-73	0.7797	0.7132	0.9147	0.8676
COG0049_0_3	COG0049	1.74e-65	0.4768	0.4865	1.02	0.9497
COG0051_0|COG0051_2_1	COG0480	5.77e-37	0.56	0.08034	0.1435	0.9804
COG0051_0|COG0051_2_2	COG0051	1.46e-47	0.5644	0.5481	0.9712	0.9806
COG0052_0|COG0052_1|COG0052_2_1	COG0052	2.96e-113	0.502	0.504	1.004	0.849
COG0052_0|COG0052_1|COG0052_2_2	COG0264	8.75e-20	0.7143	0.1014	0.1419	1
COG0060_0_1	COG0060	0	0.3427	0.3912	1.141	0.9318
COG0072_0_1	COG0221	2.55e-60	0.4737	0.4737	1	0.8104
COG0072_0_2	COG0072	2.94e-179	0.3537	0.3646	1.031	0.8282
COG0080_0|COG0080_1|COG0080_2_1	COG0080	2.46e-69	0.5643	0.5603	0.9929	0.9459
COG0080_0|COG0080_1|COG0080_2_2	COG0081	2.69e-48	0.4924	0.2851	0.5789	1.008
COG0081_0_1	COG0080	1.67e-67	0.579	0.5461	0.9433	0.95
COG0081_0_2	COG0081	1.81e-99	0.5198	0.5175	0.9956	0.9827
COG0087_0|COG0087_1|COG0087_2_1	COG0087	3.08e-95	0.5024	0.4862	0.9679	0.986
COG0087_0|COG0087_1|COG0087_2_2	COG0088	1.5e-53	0.415	0.3879	0.9346	0.9569
COG0088_0|COG0088_1|COG0088_2_1	COG0087	1.58e-73	0.5058	0.4037	0.7982	0.9831
COG0088_0|COG0088_1|COG0088_2_2	COG0088	1.5e-53	0.415	0.3879	0.9346	0.9569
COG0089_0|COG0089_1_1	COG0087	1.58e-73	0.5058	0.4037	0.7982	0.9831
COG0089_0|COG0089_1_2	COG0088	1.5e-53	0.415	0.3879	0.9346	0.9569
COG0089_0|COG0089_1_3	COG0089	2.88e-26	0.4506	0.4362	0.9681	0.9381
COG0090_0_1	COG0090	1.48e-137	0.5782	0.5782	1	1
COG0090_0_2	COG0185	4.44e-48	0.6477	0.6129	0.9462	0.9888
COG0091_0_1	COG0091	3.77e-34	0.4453	0.475	1.067	0.9014
COG0092_0_1	COG0092	1.09e-85	0.5323	0.4592	0.8627	0.7852
COG0093_0|COG0093_1|COG0093_2_2	COG0093	8.7e-73	0.7377	0.7377	1	0.9919
COG0093_0|COG0093_1|COG0093_2_3	COG0198	1.33e-14	0.537	0.2788	0.5192	0.931
COG0096_0|COG0096_2_1	COG0096	2.33e-58	0.542	0.5379	0.9924	0.9632
COG0096_0|COG0096_2_2	COG0097	1.49e-72	0.5	0.5169	1.034	0.9485
COG0097_0|COG0097_1|COG0097_2_1	COG0096	5.37e-41	0.5521	0.4015	0.7273	0.96
COG0097_0|COG0097_1|COG0097_2_2	COG0097	4.02e-72	0.5	0.5169	1.034	0.9946
COG0100_0|COG0100_2_1	COG0099	2.84e-27	0.5373	0.2975	0.5537	0.8701
COG0100_0|COG0100_2_2	COG0100	1.53e-55	0.5969	0.5969	1	0.9923
COG0102_0|COG0102_1|COG0102_2_1	COG0102	7.15e-74	0.5586	0.5473	0.9797	0.9539
COG0103_0_2	COG0103	3.33e-58	0.5078	0.5	0.9846	0.9922
COG0130_0_1	COG1968	2.86e-22	0.3654	0.1407	0.3852	0.972
COG0130_0_2	COG0130	2.91e-60	0.3721	0.2952	0.7934	0.874
COG0130_0_3	COG0809	2.83e-21	0.66	0.09483	0.1437	1
COG0184_0_1	COG0184	3.66e-32	0.5568	0.5506	0.9888	0.9565
COG0185_0|COG0185_1|COG0185_2_2	COG0185	4.44e-48	0.6477	0.6129	0.9462	0.9888
COG0186_0|COG0186_1|COG0186_2_1	COG0186	1.49e-30	0.5294	0.5172	0.977	0.9884
COG0186_0|COG0186_1|COG0186_2_2	COG0093	8.7e-73	0.7377	0.7377	1	0.9919
COG0186_0|COG0186_1|COG0186_2_3	COG0198	1.33e-14	0.537	0.2788	0.5192	0.931
COG0197_0_2	COG0197	2.46e-68	0.6159	0.5822	0.9452	0.9718
COG0198_0|COG0198_1_1	COG0093	8.7e-73	0.7377	0.7377	1	0.9919
COG0198_0|COG0198_1_2	COG0198	8.33e-31	0.5673	0.5673	1	0.9541
COG0200_0_1	COG0200	4.19e-36	0.5166	0.5132	0.9934	1.013
COG0201_0|COG0201_2_1	COG0201	2.76e-134	0.4465	0.4495	1.007	0.9887
COG0244_0|COG0244_1_1	COG0244	2.1e-23	0.3448	0.3429	0.9943	1.006
COG0256_0|COG0256_2_1	COG0096	5.37e-41	0.5521	0.4015	0.7273	0.96
COG0256_0|COG0256_2_2	COG0097	4.02e-72	0.5	0.5169	1.034	0.9946
COG0256_0|COG0256_2_3	COG0256	2.38e-39	0.4667	0.448	0.96	1
COG0532_0_1	COG0532	0	0.5799	0.5776	0.9961	0.5132
COG0532_0_2	COG0042	4.5e-110	0.4056	0.4056	1	0.9308
COG0541_0_1	COG4992	7.39e-83	0.4089	0.2054	0.5025	0.9713
COG0541_0_2	COG0541	0	0.5711	0.561	0.9823	1.005
