NODE_5_length_138743_cov_15.678321_43 COG0048 strand=+	Bin_1
NODE_5_length_138743_cov_15.678321_44 COG0049 strand=+	Bin_1
NODE_5_length_138743_cov_15.678321_47 COG0051 strand=+	Bin_1
NODE_5_length_138743_cov_15.678321_66 COG0100 strand=+	Bin_1
NODE_5_length_138743_cov_15.678321_81 COG0197 strand=+	Bin_1
NODE_7_length_116193_cov_15.825812_33 COG0016 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_38 COG0130 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_41 COG0201 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_42 COG0200 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_45 COG0256 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_48 COG0097 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_49 COG0096 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_51 COG0094 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_54 COG0093 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_55 COG0186 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_59 COG0092 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_60 COG0091 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_61 COG0185 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_62 COG0090 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_63 COG0089 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_64 COG0088 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_65 COG0087 strand=-	Bin_1
NODE_7_length_116193_cov_15.825812_103 COG0102 strand=+	Bin_1
NODE_7_length_116193_cov_15.825812_104 COG0103 strand=+	Bin_1
NODE_9_length_111157_cov_16.817258_43 COG0184 strand=+	Bin_1
NODE_12_length_102272_cov_16.001243_78 COG0052 strand=-	Bin_1
NODE_12_length_102272_cov_16.001243_110 COG0532 strand=-	Bin_1
NODE_20_length_53612_cov_15.351191_4 COG0060 strand=-	Bin_1
NODE_49_length_29195_cov_16.573116_9 COG0552 strand=+	Bin_1
NODE_83_length_20414_cov_14.956582_5 COG0072 strand=+	Bin_1
NODE_83_length_20414_cov_14.956582_12 COG0541 strand=-	Bin_1
NODE_140_length_11264_cov_15.934746_6 COG0080 strand=+	Bin_1
NODE_140_length_11264_cov_15.934746_7 COG0081 strand=+	Bin_1
NODE_140_length_11264_cov_15.934746_8 COG0244 strand=+	Bin_1
