Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
DHVB01000019.1_1	COG1014	2.4e-30	0.2908	0.2808	0.9655	1.083
DHVB01000019.1_2	COG1013	8.24e-53	0.3012	0.2551	0.8469	0.9468
DHVB01000019.1_3	COG0674	9.32e-86	0.3451	0.3479	1.008	1.017
DHVB01000019.1_4	COG1146	4.96e-11	0.3623	0.3676	1.015	0.9079
DHVB01000019.1_5	COG0507	6.74e-26	0.2168	0.1408	0.6494	0.9456
DHVB01000019.1_8	COG0742	2.8e-51	0.3441	0.3422	0.9947	1.045
DHVB01000019.1_9	COG2839	7.08e-15	0.3418	0.3375	0.9875	0.9349
DHVB01000019.1_13	COG1131	1.33e-46	0.2993	0.3003	1.003	0.322
DHVB01000021.1_4	COG2094	1.14e-63	0.3936	0.37	0.94	1.093
DHVB01000021.1_5	COG0590	2.87e-52	0.4333	0.3421	0.7895	0.7692
DHVB01000021.1_10	COG0741	5.7e-13	0.275	0.1486	0.5405	0.3791
DHVB01000021.1_13	COG1451	4.37e-30	0.2332	0.2332	1	0.8992
DHVB01000021.1_14	COG0231	5.8e-48	0.4351	0.4351	1	0.6968
DHVB01000021.1_16	COG0790	1.06e-36	0.2701	0.2877	1.065	0.6942
DHVB01000021.1_20	COG3586	1.67e-32	0.51	0.505	0.9901	0.3268
DHVB01000021.1_24	COG2356	1.83e-36	0.2571	0.2658	1.034	0.702
DHVB01000021.1_25	COG0299	5.26e-62	0.285	0.265	0.93	0.9347
DHVB01000021.1_26	COG0236	4.51e-20	0.5385	0.525	0.975	0.9873
DHVB01000021.1_27	COG0304	3.92e-177	0.4712	0.4757	1.01	0.9976
DHVB01000021.1_28	COG0571	1.32e-53	0.3455	0.3234	0.9362	0.9244
DHVB01000021.1_30	COG2244	5.02e-13	0.1884	0.1833	0.9729	0.9359
DHVB01000021.1_32	COG0323	8.66e-164	0.3275	0.3244	0.9906	1.031
DHVB01000021.1_33	COG0705	1.43e-25	0.2753	0.2982	1.083	1.008
DHVB01000021.1_34	COG0705	2.86e-20	0.243	0.2281	0.9386	0.7086
DHVB01000021.1_35	COG3568	3.19e-17	0.2188	0.2432	1.112	0.7869
DHVB01000021.1_36	COG0694	6.87e-23	0.4359	0.3656	0.8387	1.013
DHVB01000021.1_37	COG0489	3.38e-71	0.4375	0.3698	0.8453	0.6087
DHVB01000021.1_38	COG0677	3.58e-148	0.3791	0.3739	0.9862	1
DHVB01000021.1_39	COG0673	2.9e-40	0.2489	0.1637	0.6579	0.7143
DHVB01000021.1_40	COG0663	5.45e-18	0.2609	0.2386	0.9148	0.8385
DHVB01000021.1_42	COG0117	1.99e-61	0.4345	0.4315	0.9932	0.4143
DHVB01000021.1_43	COG1629	8.51e-34	0.1725	0.1745	1.012	0.9441
DHVB01000021.1_44	COG3291	5.22e-45	0.3733	0.3771	1.01	0.5128
DHVB01000021.1_45	COG1253	5.84e-97	0.293	0.2937	1.002	1.021
DHVB01000021.1_50	COG1521	1.64e-39	0.3095	0.3108	1.004	1.033
DHVB01000021.1_51	COG0549	6.21e-145	0.4778	0.484	1.013	0.9937
DHVB01000021.1_54	COG0513	1.2e-116	0.3811	0.2904	0.7622	0.9222
DHVB01000021.1_57	COG1381	3.59e-14	0.2662	0.1474	0.5538	0.5768
DHVB01000021.1_59	COG0127	1.18e-74	0.4628	0.4485	0.9691	0.9447
DHVB01000021.1_61	COG0750	1.21e-35	0.2641	0.2987	1.131	0.977
DHVB01000021.1_62	COG0743	0	0.5266	0.5143	0.9766	0.9666
DHVB01000021.1_63	COG0739	4.32e-26	0.2311	0.2202	0.9531	0.9531
DHVB01000021.1_66	COG0428	4.86e-62	0.403	0.406	1.008	1.008
DHVB01000021.1_67	COG1864	6.79e-52	0.3364	0.2633	0.7829	0.8594
DHVB01000021.1_69	COG0043	9.13e-171	0.3987	0.3753	0.9413	0.7728
DHVB01000021.1_71	COG0239	9.3e-33	0.384	0.381	0.9921	0.9921
DHVB01000021.1_72	COG0367	3.01e-114	0.2989	0.3413	1.142	0.9968
DHVB01000021.1_73	COG0114	0	0.5957	0.5931	0.9957	0.9978
DHVB01000021.1_74	COG0596	5.42e-30	0.1977	0.1844	0.9326	0.9813
DHVB01000021.1_75	COG0016	2.46e-145	0.5016	0.4836	0.9642	0.95
DHVB01000021.1_76	COG1160	0	0.5069	0.4955	0.9775	0.9977
DHVB01000021.1_77	COG1947	1.72e-55	0.3566	0.3183	0.8927	0.9627
DHVB01000021.1_78	COG0733	6.29e-143	0.4743	0.4829	1.018	0.9868
DHVB01000021.1_79	COG1115	1.31e-163	0.4416	0.4513	1.022	1
DHVB01000021.1_80	COG1555	2.43e-11	0.2456	0.1879	0.7651	0.3065
DHVB01000021.1_86	COG0499	0	0.5522	0.6048	1.095	0.9746
DHVB01000021.1_87	COG0196	2.56e-92	0.3823	0.3849	1.007	1
DHVB01000021.1_89	COG2908	7.99e-19	0.2646	0.2489	0.9409	0.8711
DHVB01000021.1_90	COG0652	1.93e-50	0.385	0.4873	1.266	0.9174
DHVB01000021.1_91	COG0730	4.5e-21	0.3137	0.3101	0.9884	1.004
DHVB01000021.1_92	COG0535	5.36e-17	0.3204	0.1671	0.5216	0.5452
DHVB01000021.1_93	COG0801	5e-52	0.3951	0.4	1.012	0.9939
DHVB01000021.1_94	COG0590	5.94e-58	0.5343	0.5132	0.9605	0.9865
DHVB01000021.1_95	COG0611	8.69e-92	0.3642	0.3849	1.057	0.9795
DHVB01000021.1_97	COG1600	1.3e-88	0.3754	0.3353	0.8932	0.9805
DHVB01000021.1_98	COG0307	2.92e-75	0.4455	0.4412	0.9902	0.9951
DHVB01000021.1_100	COG0793	5.15e-90	0.3634	0.3079	0.8473	0.6335
DHVB01000021.1_101	COG2131	5.74e-43	0.3922	0.3659	0.9329	1.041
DHVB01000021.1_102	COG1160	6.72e-36	0.1986	0.1847	0.9302	1.03
DHVB01000021.1_103	COG2114	1.9e-34	0.2554	0.2599	1.018	0.1892
DHVB01000021.1_105	COG0029	0	0.4581	0.4537	0.9903	0.9753
DHVB01000021.1_107	COG0623	2.67e-56	0.3397	0.3436	1.012	0.9391
DHVB01000021.1_108	COG1875	2.05e-158	0.4788	0.4908	1.025	0.9933
DHVB01000021.1_109	COG1216	4.23e-48	0.2708	0.2557	0.9443	0.9114
DHVB01000066.1_1	COG3172	4.16e-26	0.2644	0.246	0.9305	1
DHVB01000066.1_2	COG3201	4.35e-26	0.3552	0.2928	0.8243	0.9242
DHVB01000066.1_3	COG0793	5.45e-88	0.4087	0.3251	0.7956	0.6049
DHVB01000066.1_4	COG0057	2.65e-134	0.485	0.4836	0.997	0.9882
DHVB01000066.1_5	COG0574	5.92e-46	0.229	0.1581	0.6905	0.3738
DHVB01000066.1_6	COG0057	3.45e-65	0.2941	0.3433	1.167	0.9376
DHVB01000066.1_9	COG5293	1.45e-64	0.2783	0.291	1.046	1.023
